Macho_id Sigma_B Sigma_B_comp Eta_B Eta_B_comp stetson_L_B stetson_L_B_comp CuSum_B CuSum_B_comp B-R B-R_comp class
12.10684.267 1.3217194391 0.791193632553 -0.0153471759034 0.963480573578 1.99829143634 0.749275262173 0.268482946647 0.645427941403 -0.0674735576923 0.927959521652 2
12.10926.76 1.34815298836 0.80532061348 -0.00683120694097 0.6372524073 1.47420033778 0.887138577848 0.223983567058 0.779228401024 -0.0880012239902 0.885789971883 2
13.6689.2365 0.574041962229 0.888129716593 -0.0106900590736 0.945805860038 1.55005015196 0.835991858553 0.27263545655 0.543584504097 -0.276952267303 0.948546010759 2
13.6931.2479 0.460893984339 0.915358543686 -0.0084269093705 0.911070741541 2.69255900737 0.842623604401 0.375751513395 0.923187151327 -0.313992610837 0.874992347112 2
14.8493.39 0.107149196612 0.950624579744 -0.0113423854909 0.841990011479 10.8675583631 0.833117039668 0.439804214832 0.903032393454 -0.244288032454 0.773082457762 2
14.8622.3551 0.466727125626 0.688732221913 -0.00790778300699 0.678026196728 1.89648007869 0.707535723098 0.350845851732 0.677894754285 -0.496604783599 0.978057731889 2
14.8863.660 0.426934988099 0.870333435484 -0.0105389680075 0.642754019695 4.28532117522 0.62149970745 0.384011717604 0.84755935133 -0.263473265074 0.938739020772 2
14.9587.87 0.961338668299 0.958217589893 -0.00828124727295 0.948940085741 3.43564151808 0.846664754629 0.256456857717 0.873272496297 -0.167036036036 0.831229127009 2
17.2102.357 0.921892811202 0.902985335294 -0.0134675577996 0.984962259033 1.01286842168 0.838012581286 0.298939454758 0.866536692535 -0.472677902622 0.834652373941 2
17.2105.71 0.469214820338 0.909090681292 -0.00594154638478 0.898122423562 3.22993603967 0.863423256508 0.38400283933 0.905845969948 -0.27785840708 0.938480501356 2
17.2108.72 0.524275189747 0.935570760258 -0.00558739236564 0.926459312839 3.94710779508 0.537729055196 0.376845307538 0.874794949488 -0.19294600939 0.986009846015 2
17.2109.108 0.2908947608 0.935878220457 -0.0107649802768 0.872181768879 2.23336532855 0.914211707668 0.365976970848 0.927581013843 -0.375096018735 0.987735742535 2
